OOMP Parts -- CSV, 2016-06-14
OOMP ID,Name,Type,Size/Package,Color/Material,Description/Value,Index/Rating,SEEED OPL ID,Manufacturer 1,Man 1 P/N,Manufacturer 2,Man 2 P/N,Distributor 1,Dist 1 P/N,Distributor 2,Dist 2 P/N,Datasheet,
"CAPC-55D-X-PF22-VC","5.5 mm 22 pF Capacitor (Ceramic) 50v","Capacitor (Ceramic)","5.5 mm","","22 pF","50v",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPC-55D-X-PF22-VC/CAPC-55D-X-PF22-VC-datasheet.pdf,
"CAPE-05-X-UF1-VD","5 mm 1 uF Capacitor (Electrolytic) 63v","Capacitor (Electrolytic)","5 mm","","1 uF","63v",,Multicomp,MCGPR63V105M5X11,,,Rapid Electronics,11-3500,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF1-VD/CAPE-05-X-UF1-VD-datasheet.pdf,
"CAPE-05-X-UF10-VA","5 mm 10 uF Capacitor (Electrolytic) 25v","Capacitor (Electrolytic)","5 mm","","10 uF","25v",,Multicomp,MCGPR25V106M5X11,,,Rapid Electronics,11-3503,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF10-VA/CAPE-05-X-UF10-VA-datasheet.pdf,
"CAPE-05-X-UF100-VF","5 mm 100 uF Capacitor (Electrolytic) 16v","Capacitor (Electrolytic)","5 mm","","100 uF","16v",302030031 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF100-VF/CAPE-05-X-UF100-VF-datasheet.pdf,
"CAPE-05-X-UF22-VA","5 mm 22 uF Capacitor (Electrolytic) 25v","Capacitor (Electrolytic)","5 mm","","22 uF","25v",,Vishay,MAL203858229E3,,,Rapid Electronics,11-3505,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF22-VA/CAPE-05-X-UF22-VA-datasheet.pdf,
"CAPE-05-X-UF22D-VD","5 mm 2.2 uF Capacitor (Electrolytic) 63v","Capacitor (Electrolytic)","5 mm","","2.2 uF","63v",,Multicomp,MCGPR63V225M5X11,,,Rapid Electronics,11-3501,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF22D-VD/CAPE-05-X-UF22D-VD-datasheet.pdf,
"CAPE-05-X-UF47-VF","5 mm 47 uF Capacitor (Electrolytic) 16v","Capacitor (Electrolytic)","5 mm","","47 uF","16v",302030033 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF47-VF/CAPE-05-X-UF47-VF-datasheet.pdf,
"CAPE-05-X-UF47D-VD","5 mm 4.7 uF Capacitor (Electrolytic) 63v","Capacitor (Electrolytic)","5 mm","","4.7 uF","63v",,Multicomp,MCGPR63V475M5X11,,,Rapid Electronics,11-3502,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-05-X-UF47D-VD/CAPE-05-X-UF47D-VD-datasheet.pdf,
"CAPE-10-X-UF470-VA","10 mm 470 uF Capacitor (Electrolytic) 25v","Capacitor (Electrolytic)","10 mm","","470 uF","25v",,Vishay,MAL203856471E3,,,Rapid Electronics,11-3515,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-10-X-UF470-VA/CAPE-10-X-UF470-VA-datasheet.pdf,
"CAPE-63D-X-UF100-VA","6.3 mm 100 uF Capacitor (Electrolytic) 25v","Capacitor (Electrolytic)","6.3 mm","","100 uF","25v",,Multicomp,MCGPR25V107M6.3X11,,,Rapid Electronics,11-3509,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-63D-X-UF100-VA/CAPE-63D-X-UF100-VA-datasheet.pdf,
"CAPE-S63D-X-UF220-VF","SMD (6.3 mm) 220 uF Capacitor (Electrolytic) 16v","Capacitor (Electrolytic)","SMD (6.3 mm)","","220 uF","16v",302030053 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-S63D-X-UF220-VF/CAPE-S63D-X-UF220-VF-datasheet.pdf,
"CAPE-S63D-X-UF47-VA","SMD (6.3 mm) 47 uF Capacitor (Electrolytic) 25v","Capacitor (Electrolytic)","SMD (6.3 mm)","","47 uF","25v",302030059 ,Semetech Electronics Ltd.,EEE1EA470WP,,,Farnell,2284803,Mouser,667-EEE-1EA470WP,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPE-S63D-X-UF47-VA/CAPE-S63D-X-UF47-VA-datasheet.pdf,
"CAPT-1206-X-UF10-VB","SMD (1206) 10 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1206)","","10 uF","10v",302020011 ,,,,,Mouser,581-TAJA106K010,SEEED Studio,302020011,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1206-X-UF10-VB/CAPT-1206-X-UF10-VB-datasheet.pdf,
"CAPT-1206-X-UF10-VF","SMD (1206) 10 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (1206)","","10 uF","16v",302020002 ,Sprague,TR3A106K016C1700,,,Mouser,581-TAJA106K016R,SEEED,302020002,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1206-X-UF10-VF/CAPT-1206-X-UF10-VF-datasheet.pdf,
"CAPT-1206-X-UF22-VB","SMD (1206) 22 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1206)","","22 uF","10v",302020008 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1206-X-UF22-VB/CAPT-1206-X-UF22-VB-datasheet.pdf,
"CAPT-1206-X-UF47D-VF","SMD (1206) 4.7 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (1206)","","4.7 uF","16v",302020006 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1206-X-UF47D-VF/CAPT-1206-X-UF47D-VF-datasheet.pdf,
"CAPT-1206-X-UF47D-VH","SMD (1206) 4.7 uF Capacitor (Tantalum) 6.3v","Capacitor (Tantalum)","SMD (1206)","","4.7 uF","6.3v",302020005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1206-X-UF47D-VH/CAPT-1206-X-UF47D-VH-datasheet.pdf,
"CAPT-1210-X-UF10-VB","SMD (1210) 10 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1210)","","10 uF","10v",302020019 ,,,,,Mouser,581-TAJB106K010,SEEED Studio,302020019,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF10-VB/CAPT-1210-X-UF10-VB-datasheet.pdf,
"CAPT-1210-X-UF10-VF","SMD (1210) 10 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (1210)","","10 uF","16v",,,,,,Mouser,581-TAJB106K016,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF10-VF/CAPT-1210-X-UF10-VF-datasheet.pdf,
"CAPT-1210-X-UF100-VB","SMD (1210) 100 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1210)","","100 uF","10v",302020015 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF100-VB/CAPT-1210-X-UF100-VB-datasheet.pdf,
"CAPT-1210-X-UF22-VB","SMD (1210) 22 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1210)","","22 uF","10v",302020021 ,,,,,Mouser,581-TAJB226K010,SEEED Studio,302020021,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF22-VB/CAPT-1210-X-UF22-VB-datasheet.pdf,
"CAPT-1210-X-UF22-VF","SMD (1210) 22 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (1210)","","22 uF","16v",302020013 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF22-VF/CAPT-1210-X-UF22-VF-datasheet.pdf,
"CAPT-1210-X-UF47-VB","SMD (1210) 47 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (1210)","","47 uF","10v",302020020 ,,,,,Mouser,581-TAJB476K010,SEEED Studio,302020020,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-1210-X-UF47-VB/CAPT-1210-X-UF47-VB-datasheet.pdf,
"CAPT-2312-X-UF100-VB","SMD (2312) 100 uF Capacitor (Tantalum) 10v","Capacitor (Tantalum)","SMD (2312)","","100 uF","10v",302020025 ,,,,,Mouser,581-TAJC107K010R,SEEED Studio,302020025,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-2312-X-UF100-VB/CAPT-2312-X-UF100-VB-datasheet.pdf,
"CAPT-2312-X-UF100-VF","SMD (2312) 100 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (2312)","","100 uF","16v",302020023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-2312-X-UF100-VF/CAPT-2312-X-UF100-VF-datasheet.pdf,
"CAPT-2312-X-UF22-VA","SMD (2312) 22 uF Capacitor (Tantalum) 25v","Capacitor (Tantalum)","SMD (2312)","","22 uF","25v",,,,,,Mouser,581-TAJC226K025R,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-2312-X-UF22-VA/CAPT-2312-X-UF22-VA-datasheet.pdf,
"CAPT-2312-X-UF47-VF","SMD (2312) 47 uF Capacitor (Tantalum) 16v","Capacitor (Tantalum)","SMD (2312)","","47 uF","16v",302020022 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-2312-X-UF47-VF/CAPT-2312-X-UF47-VF-datasheet.pdf,
"CAPT-2917-X-UF470-VH","SMD (2917) 470 uF Capacitor (Tantalum) 6.3v","Capacitor (Tantalum)","SMD (2917)","","470 uF","6.3v",302020027 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-2917-X-UF470-VH/CAPT-2917-X-UF470-VH-datasheet.pdf,
"CAPT-36D-X-NF100-VC","3.6 mm 100 nF Capacitor (Tantalum) 50v","Capacitor (Tantalum)","3.6 mm","","100 nF","50v",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CAPT-36D-X-NF100-VC/CAPT-36D-X-NF100-VC-datasheet.pdf,
"CERE-1263-X-MZ12-01","SMD (1206-3) 12 MHz Ceramic Resonator","Ceramic Resonator","SMD (1206-3)","","12 MHz","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CERE-1263-X-MZ12-01/CERE-1263-X-MZ12-01-datasheet.pdf,
"CERE-1263-X-MZ16-01","SMD (1206-3) 16 MHz Ceramic Resonator","Ceramic Resonator","SMD (1206-3)","","16 MHz","",306030002 ,,,,,Farnell,2443265,Mouser,81-CSTCE16M0V53-R0,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CERE-1263-X-MZ16-01/CERE-1263-X-MZ16-01-datasheet.pdf,
"CERE-1263-X-MZ8-01","SMD (1206-3) 8 MHz Ceramic Resonator","Ceramic Resonator","SMD (1206-3)","","8 MHz","",306010053 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CERE-1263-X-MZ8-01/CERE-1263-X-MZ8-01-datasheet.pdf,
"CRHO-I01-B-01PI-01","2.54 mm 1 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","1 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-01PI-01/CRHO-I01-B-01PI-01-datasheet.pdf,
"CRHO-I01-B-02PI-01","2.54 mm 2 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","2 Pin","",,4uCon,02042,,,Farnell,1593506,RS,771-0149,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-02PI-01/CRHO-I01-B-02PI-01-datasheet.pdf,
"CRHO-I01-B-03PI-01","2.54 mm 3 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","3 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-03PI-01/CRHO-I01-B-03PI-01-datasheet.pdf,
"CRHO-I01-B-04PI-01","2.54 mm 4 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","4 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-04PI-01/CRHO-I01-B-04PI-01-datasheet.pdf,
"CRHO-I01-B-05PI-01","2.54 mm 5 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","5 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-05PI-01/CRHO-I01-B-05PI-01-datasheet.pdf,
"CRHO-I01-B-06PI-01","2.54 mm 6 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","6 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-06PI-01/CRHO-I01-B-06PI-01-datasheet.pdf,
"CRHO-I01-B-08PI-01","2.54 mm 8 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","8 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-08PI-01/CRHO-I01-B-08PI-01-datasheet.pdf,
"CRHO-I01-B-10PI-01","2.54 mm 10 Pin Black Crimp Housing","Crimp Housing","2.54 mm","Black","10 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/CRHO-I01-B-10PI-01/CRHO-I01-B-10PI-01-datasheet.pdf,
"DBCO-DB09-X-THTH-ML","DB9 Connector Male","Connector","DB9","","Through Hole","Male",320110017 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DBCO-DB09-X-THTH-ML/DBCO-DB09-X-THTH-ML-datasheet.pdf,
"DCJP-21D-X-THTH-01","2.1 mm Through Hole DC Jack","DC Jack","2.1 mm","","Through Hole","",320120003 ,CUI,PJ-102A,Switchcraft,RAPC722X,Farnell,1737246,Mouser,502-RAPC722X,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DCJP-21D-X-THTH-01/DCJP-21D-X-THTH-01-datasheet.pdf,
"DCJP-21D-X-THTH-02","2.1 mm Through Hole DC Jack","DC Jack","2.1 mm","","Through Hole","",320120002 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DCJP-21D-X-THTH-02/DCJP-21D-X-THTH-02-datasheet.pdf,
"DIOD-1206-X-A015D-01","SMD (1206) 150 mA Diode 75v","Diode","SMD (1206)","","150 mA","75v",304040005 ,,,,,Farnell,2211947,Mouser,652-CD1206-S01575,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-1206-X-A015D-01/DIOD-1206-X-A015D-01-datasheet.pdf,
"DIOD-D214-X-A01-01","SMD (DO-214) 1 Amp Diode","Diode","SMD (DO-214)","","1 Amp","",304010013 ,Fairchild Semiconductor,S1M,Taiwan Semiconductor,S1M E3,Farnell,9843841,Mouser,512-S1M,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-D214-X-A01-01/DIOD-D214-X-A01-01-datasheet.pdf,
"DIOD-I03-X-A01-VC","7.62 mm 1 Amp Diode 50v","Diode","7.62 mm","","1 Amp","50v",,Fairchild Semiconductors,1N4001,Vishay,1N4001-E3/73,RS Electronics,628-8931,Mouser,512-1N4001,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-I03-X-A01-VC/DIOD-I03-X-A01-VC-datasheet.pdf,
"DIOD-I03-X-A01-VI","7.62 mm 1 Amp Diode 400v","Diode","7.62 mm","","1 Amp","400v",304010008 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-I03-X-A01-VI/DIOD-I03-X-A01-VI-datasheet.pdf,
"DIOD-MMA-X-A02D-V7","SMD (Mini MELF) 200 mA Diode 75v","Diode","SMD (Mini MELF)","","200 mA","75v",304040011 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-MMA-X-A02D-V7/DIOD-MMA-X-A02D-V7-datasheet.pdf,
"DIOD-MMA-X-A03D-01","SMD (Mini MELF) 300 mA Diode","Diode","SMD (Mini MELF)","","300 mA","",304040016 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-MMA-X-A03D-01/DIOD-MMA-X-A03D-01-datasheet.pdf,
"DIOD-S123-X-A02D-V1","SMD (SOD-123) 200 mA Diode 100v","Diode","SMD (SOD-123)","","200 mA","100v",304010007 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-S123-X-A02D-V1/DIOD-S123-X-A02D-V1-datasheet.pdf,
"DIOD-S123-X-A03D-VG","SMD (SOD-123) 300 mA Diode 20v","Diode","SMD (SOD-123)","","300 mA","20v",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-S123-X-A03D-VG/DIOD-S123-X-A03D-VG-datasheet.pdf,
"DIOD-S123-X-ESDP-01","SMD (SOD-123) ESD Protection Diode","Diode","SMD (SOD-123)","","ESD Protection","",304060001 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-S123-X-ESDP-01/DIOD-S123-X-ESDP-01-datasheet.pdf,
"DIOD-S123-X-STAN-01","SMD (SOD-123) Diode","Diode","SMD (SOD-123)","","","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-S123-X-STAN-01/DIOD-S123-X-STAN-01-datasheet.pdf,
"DIOD-S323-X-A03D-VG","SMD (SOD-323) 300 mA Diode 20v","Diode","SMD (SOD-323)","","300 mA","20v",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-S323-X-A03D-VG/DIOD-S323-X-A03D-VG-datasheet.pdf,
"DIOD-SO23-X-ESDP-01","SMD (SOT-23) ESD Protection Diode","Diode","SMD (SOT-23)","","ESD Protection","",304050003 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-SO23-X-ESDP-01/DIOD-SO23-X-ESDP-01-datasheet.pdf,
"DIOD-SO23-X-ESDP-V3","SMD (SOT-23) ESD Protection Diode 3.3v","Diode","SMD (SOT-23)","","ESD Protection","3.3v",304060003 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOD-SO23-X-ESDP-V3/DIOD-SO23-X-ESDP-V3-datasheet.pdf,
"DIOS-D214-X-A01-01","SMD (DO-214) 1 Amp Diode (Schottky)","Diode (Schottky)","SMD (DO-214)","","1 Amp","",304020027 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-D214-X-A01-01/DIOS-D214-X-A01-01-datasheet.pdf,
"DIOS-D214-X-A05-01","SMD (DO-214) 5 Amp Diode (Schottky)","Diode (Schottky)","SMD (DO-214)","","5 Amp","",304020021 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-D214-X-A05-01/DIOS-D214-X-A05-01-datasheet.pdf,
"DIOS-S123-X-A01-01","SMD (SOD-123) 1 Amp Diode (Schottky)","Diode (Schottky)","SMD (SOD-123)","","1 Amp","",304020012 ,,,,,Mouser,821-B0540W,Farnell,1863143,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-S123-X-A01-01/DIOS-S123-X-A01-01-datasheet.pdf,
"DIOS-S123-X-A05D-01","SMD (SOD-123) 500 mA Diode (Schottky)","Diode (Schottky)","SMD (SOD-123)","","500 mA","",304020028 304020032 ,On Semiconductors,MBR0520LT1G,,,SEEED,304020032,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-S123-X-A05D-01/DIOS-S123-X-A05D-01-datasheet.pdf,
"DIOS-S123-X-A05D-V4","SMD (SOD-123) 500 mA Diode (Schottky) 40v","Diode (Schottky)","SMD (SOD-123)","","500 mA","40v",304020034 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-S123-X-A05D-V4/DIOS-S123-X-A05D-V4-datasheet.pdf,
"DIOS-SO23-X-A02D-01","SMD (SOT-23) 200 mA Diode (Schottky)","Diode (Schottky)","SMD (SOT-23)","","200 mA","",304020016 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DIOS-SO23-X-A02D-01/DIOS-SO23-X-A02D-01-datasheet.pdf,
"DISP-10SEL-GYR-STAN-01","10 Segment LED Bargraph Green, Yellow, Red Display","Display","10 Segment LED Bargraph","Green, Yellow, Red","","",304080004 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DISP-10SEL-GYR-STAN-01/DISP-10SEL-GYR-STAN-01-datasheet.pdf,
"DISP-128X64-X-OLED-01","128 x 64 Pixels OLED Display","Display","128 x 64 Pixels","","OLED","",308020000 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DISP-128X64-X-OLED-01/DISP-128X64-X-OLED-01-datasheet.pdf,
"DISP-7SEL-R-4DIG-01","7 Segment LED 4 Digit Red Display","Display","7 Segment LED","Red","4 Digit","",304080005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/DISP-7SEL-R-4DIG-01/DISP-7SEL-R-4DIG-01-datasheet.pdf,
"FERB-0402-X-O182-01","SMD (0402) 1.8k Ohm Ferrite Bead","Ferrite Bead","SMD (0402)","","1.8k Ohm","",306050008 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0402-X-O182-01/FERB-0402-X-O182-01-datasheet.pdf,
"FERB-0603-X-O121-01","SMD (0603) 120 Ohm Ferrite Bead","Ferrite Bead","SMD (0603)","","120 Ohm","",303030001 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0603-X-O121-01/FERB-0603-X-O121-01-datasheet.pdf,
"FERB-0603-X-O252-01","SMD (0603) 2.5k Ohm Ferrite Bead","Ferrite Bead","SMD (0603)","","2.5k Ohm","",303030020 ,,,,,Mouser,81-BLM18BD252SN1D,Farnell,1515709,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0603-X-O252-01/FERB-0603-X-O252-01-datasheet.pdf,
"FERB-0805-X-O221-01","SMD (0805) 220 Ohm Ferrite Bead","Ferrite Bead","SMD (0805)","","220 Ohm","",,,,,,Farnell,1515661,Mouser,81-BLM21P221SG,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0805-X-O221-01/FERB-0805-X-O221-01-datasheet.pdf,
"FERB-0805-X-O300-01","SMD (0805) 30 Ohm Ferrite Bead","Ferrite Bead","SMD (0805)","","30 Ohm","",306050023 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0805-X-O300-01/FERB-0805-X-O300-01-datasheet.pdf,
"FERB-0805-X-O331-01","SMD (0805) 330 Ohm Ferrite Bead","Ferrite Bead","SMD (0805)","","330 Ohm","",303030006 ,,,,,Mouser,81-BLM21P331SG,Farnell,1515663,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0805-X-O331-01/FERB-0805-X-O331-01-datasheet.pdf,
"FERB-0805-X-O471-01","SMD (0805) 470 Ohm Ferrite Bead","Ferrite Bead","SMD (0805)","","470 Ohm","",303030008 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/FERB-0805-X-O471-01/FERB-0805-X-O471-01-datasheet.pdf,
"HEAD-I01-L-02PI-01","2.54 mm 2 Pin Blue Header","Header","2.54 mm","Blue","2 Pin","",320020015 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-L-02PI-01/HEAD-I01-L-02PI-01-datasheet.pdf,
"HEAD-I01-L-06PI-01","2.54 mm 6 Pin Blue Header","Header","2.54 mm","Blue","6 Pin","",320020005 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-L-06PI-01/HEAD-I01-L-06PI-01-datasheet.pdf,
"HEAD-I01-L-08PI-01","2.54 mm 8 Pin Blue Header","Header","2.54 mm","Blue","8 Pin","",320020004 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-L-08PI-01/HEAD-I01-L-08PI-01-datasheet.pdf,
"HEAD-I01-L-2X03PI-01","2.54 mm 6 Pin (2x3) Blue Header","Header","2.54 mm","Blue","6 Pin (2x3)","",320020003 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-L-2X03PI-01/HEAD-I01-L-2X03PI-01-datasheet.pdf,
"HEAD-I01-W-02PI-01","2.54 mm 2 Pin White Header","Header","2.54 mm","White","2 Pin","",320020037 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-W-02PI-01/HEAD-I01-W-02PI-01-datasheet.pdf,
"HEAD-I01-W-03PI-01","2.54 mm 3 Pin White Header","Header","2.54 mm","White","3 Pin","",320020038 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-W-03PI-01/HEAD-I01-W-03PI-01-datasheet.pdf,
"HEAD-I01-W-08PI-01","2.54 mm 8 Pin White Header","Header","2.54 mm","White","8 Pin","",320020021 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-W-08PI-01/HEAD-I01-W-08PI-01-datasheet.pdf,
"HEAD-I01-X-01PI-01","2.54 mm 1 Pin Header","Header","2.54 mm","","1 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-01PI-01/HEAD-I01-X-01PI-01-datasheet.pdf,
"HEAD-I01-X-02PI-01","2.54 mm 2 Pin Header","Header","2.54 mm","","2 Pin","",320020016 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-02PI-01/HEAD-I01-X-02PI-01-datasheet.pdf,
"HEAD-I01-X-03PI-01","2.54 mm 3 Pin Header","Header","2.54 mm","","3 Pin","",320020079 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-03PI-01/HEAD-I01-X-03PI-01-datasheet.pdf,
"HEAD-I01-X-03PI-RA","2.54 mm 3 Pin Header Right Angle","Header","2.54 mm","","3 Pin","Right Angle",320020061 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-03PI-RA/HEAD-I01-X-03PI-RA-datasheet.pdf,
"HEAD-I01-X-04PI-01","2.54 mm 4 Pin Header","Header","2.54 mm","","4 Pin","",320020017 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-04PI-01/HEAD-I01-X-04PI-01-datasheet.pdf,
"HEAD-I01-X-05PI-01","2.54 mm 5 Pin Header","Header","2.54 mm","","5 Pin","",,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-05PI-01/HEAD-I01-X-05PI-01-datasheet.pdf,
"HEAD-I01-X-06PI-01","2.54 mm 6 Pin Header","Header","2.54 mm","","6 Pin","",320020078 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-06PI-01/HEAD-I01-X-06PI-01-datasheet.pdf,
"HEAD-I01-X-06PI-RA","2.54 mm 6 Pin Header Right Angle","Header","2.54 mm","","6 Pin","Right Angle",320020019 ,,,,,,,,,https://github.com/oomlout/oomlout-OOMP/raw/master/parts/HEAD-I01-X-06PI-RA/HEAD-I01-X-06PI-RA-datasheet.pdf,
